timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694211156677,229,login,201,Created,Open Model Thread Group 1-2791,text,true,,1086,285,9,9,https://testslotegrator.com/api/tester/login,229,0,148
1694211156686,230,login,201,Created,Open Model Thread Group 1-2792,text,true,,1086,285,9,9,https://testslotegrator.com/api/tester/login,230,0,149
1694211156848,81,getOne,201,Created,Open Model Thread Group 1-2789,text,true,,405,613,9,9,https://testslotegrator.com/api/automationTask/getOne,81,0,0
1694211156916,118,getOne,201,Created,Open Model Thread Group 1-2792,text,true,,402,612,10,10,https://testslotegrator.com/api/automationTask/getOne,118,0,0
1694211156906,128,getOne,201,Created,Open Model Thread Group 1-2791,text,true,,400,607,10,10,https://testslotegrator.com/api/automationTask/getOne,128,0,0
1694211156801,235,login,201,Created,Open Model Thread Group 1-2793,text,true,,1086,285,8,8,https://testslotegrator.com/api/tester/login,235,0,153
1694211156615,480,getAll,200,OK,Open Model Thread Group 1-2785,text,true,,273790,556,9,9,https://testslotegrator.com/api/automationTask/getAll,259,0,0
1694211157036,95,getOne,201,Created,Open Model Thread Group 1-2793,text,true,,401,612,8,8,https://testslotegrator.com/api/automationTask/getOne,95,0,0
1694211156894,237,login,201,Created,Open Model Thread Group 1-2795,text,true,,1086,285,8,8,https://testslotegrator.com/api/tester/login,237,0,148
1694211156890,241,login,201,Created,Open Model Thread Group 1-2794,text,true,,1086,285,8,8,https://testslotegrator.com/api/tester/login,241,0,146
1694211156932,230,login,201,Created,Open Model Thread Group 1-2796,text,true,,1086,285,9,9,https://testslotegrator.com/api/tester/login,230,0,149
1694211156944,231,login,201,Created,Open Model Thread Group 1-2797,text,true,,1086,285,9,9,https://testslotegrator.com/api/tester/login,231,0,149
1694211157131,86,getOne,201,Created,Open Model Thread Group 1-2794,text,true,,397,608,10,10,https://testslotegrator.com/api/automationTask/getOne,86,0,0
1694211157131,86,getOne,201,Created,Open Model Thread Group 1-2795,text,true,,397,607,10,10,https://testslotegrator.com/api/automationTask/getOne,86,0,0
1694211157162,83,getOne,201,Created,Open Model Thread Group 1-2796,text,true,,398,607,10,10,https://testslotegrator.com/api/automationTask/getOne,83,0,0
1694211157175,82,getOne,201,Created,Open Model Thread Group 1-2797,text,true,,400,611,9,9,https://testslotegrator.com/api/automationTask/getOne,82,0,0
1694211157083,230,login,201,Created,Open Model Thread Group 1-2799,text,true,,1086,285,9,9,https://testslotegrator.com/api/tester/login,230,0,148
1694211156831,486,getAll,200,OK,Open Model Thread Group 1-2788,text,true,,273790,556,9,9,https://testslotegrator.com/api/automationTask/getAll,266,0,0
1694211157141,234,login,201,Created,Open Model Thread Group 1-2801,text,true,,1086,285,10,10,https://testslotegrator.com/api/tester/login,234,0,152
1694211157141,236,login,201,Created,Open Model Thread Group 1-2800,text,true,,1086,285,10,10,https://testslotegrator.com/api/tester/login,236,0,154
1694211156870,540,getAll,200,OK,Open Model Thread Group 1-2790,text,true,,273790,556,10,10,https://testslotegrator.com/api/automationTask/getAll,319,0,0
1694211157197,228,login,201,Created,Open Model Thread Group 1-2802,text,true,,1086,285,9,9,https://testslotegrator.com/api/tester/login,228,0,147
1694211157218,278,login,201,Created,Open Model Thread Group 1-2803,text,true,,1086,285,11,11,https://testslotegrator.com/api/tester/login,278,0,149
1694211157262,234,login,201,Created,Open Model Thread Group 1-2805,text,true,,1086,285,11,11,https://testslotegrator.com/api/tester/login,234,0,147
1694211157243,254,login,201,Created,Open Model Thread Group 1-2804,text,true,,1086,285,11,11,https://testslotegrator.com/api/tester/login,254,0,149
1694211157376,121,getOne,201,Created,Open Model Thread Group 1-2801,text,true,,399,606,11,11,https://testslotegrator.com/api/automationTask/getOne,121,0,0
1694211157426,80,getOne,201,Created,Open Model Thread Group 1-2802,text,true,,396,607,10,10,https://testslotegrator.com/api/automationTask/getOne,80,0,0
1694211157326,255,login,201,Created,Open Model Thread Group 1-2806,text,true,,1086,285,10,10,https://testslotegrator.com/api/tester/login,255,0,151
1694211157496,86,getOne,201,Created,Open Model Thread Group 1-2803,text,true,,397,609,10,10,https://testslotegrator.com/api/automationTask/getOne,86,0,0
1694211157497,85,getOne,201,Created,Open Model Thread Group 1-2804,text,true,,404,611,10,10,https://testslotegrator.com/api/automationTask/getOne,85,0,0
1694211157496,86,getOne,201,Created,Open Model Thread Group 1-2805,text,true,,396,606,10,10,https://testslotegrator.com/api/automationTask/getOne,86,0,0
1694211157359,229,login,201,Created,Open Model Thread Group 1-2807,text,true,,1086,285,7,7,https://testslotegrator.com/api/tester/login,229,0,147
1694211157434,231,login,201,Created,Open Model Thread Group 1-2809,text,true,,1086,285,10,10,https://testslotegrator.com/api/tester/login,231,0,149
1694211157588,83,getOne,201,Created,Open Model Thread Group 1-2807,text,true,,402,610,10,10,https://testslotegrator.com/api/automationTask/getOne,83,0,0
1694211157665,106,getOne,201,Created,Open Model Thread Group 1-2809,text,true,,399,611,10,10,https://testslotegrator.com/api/automationTask/getOne,106,0,0
1694211157492,279,login,201,Created,Open Model Thread Group 1-2810,text,true,,1086,285,10,10,https://testslotegrator.com/api/tester/login,279,0,149
1694211157313,469,getAll,200,OK,Open Model Thread Group 1-2799,text,true,,273790,556,10,10,https://testslotegrator.com/api/automationTask/getAll,245,0,0
